Sample_ID	Host_Taxonomy_NCBI	Source
SY711_HM3_A1	d__Eukaryota;k__Metazoa;p__Porifera;c__Demospongiae;sc__Heteroscleromorpha;o__;f__;g__;s__	Sponge
JL300_B01	na	Sponge
JL300_B16_1	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Comatulida;f__Antedonidae;g__;s__	Sponge
JL301_B04_1	na	Sponge
JL301_B06_2	na	Sponge
JL301_B13	na	Sponge
JL302_B10	na	Sponge
JL302_B16_5	na	na
JL302_B19	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__;g__;s__	Sponge
JL302_G2_2_6	na	na
JL303_B12_1	d__Eukaryota;k__Metazoa;p__Nematoda;c__Enoplea;sc__Enoplia;o__Enoplida;so__Ironina;uf__Ironoidea;f__Oxystominidae;sf__Halalaiminae;g__Halalaimus;s__	Sponge
JL303_B17_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;o__;f__;g__;s__	Sponge
JL303_B17_s	na	na
JL303_B19_h	na	na
JL303_B19_s	na	na
JL303_B21_1	na	Sponge
JL303_B22_6	na	na
JL303_B25_7	na	na
JL304_B12_1A	na	Sponge
JL304_B17_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;o__;f__;g__;s__	Sponge
JL304_G1_2_6	na	na
JL305_B07_1	na	na
JL305_B17	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL305_B18_1	na	Sponge
JL305_G1_2_10	na	na
JL306_B09_2	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Comatulida;f__Antedonidae;g__;s__	Sponge
JL307_B05_1	no_hit	Sponge
JL307_B08_15	na	na
JL307_B13_green	na	na
JL307_B16_19	na	na
JL307_G1_0_5	na	na
JL307_G1_5_7	na	na
JL308_B08_4	na	Sponge
JL308_G7_0_2	na	na
JL309_B03_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;so__Nynantheae;f__;g__;s__	Sponge
JL309_G11_0_2	na	na
JL309_G11_2_6	na	na
JL309_G12_0_2	na	na
JL309_G12_2_6	na	na
JL309_G9_0_2	na	na
JL309_G9_2_6	na	na
JL311_B09_LN	na	na
JL311_B14_7	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;sc__Hydroidolina;o__Leptothecata;f__;g__;s__	Sponge
JL311_B15_4	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Comatulida;f__Antedonidae;g__;s__	Sponge
JL311_B15_stalk	na	na
JL311_B16_3_	na	Sponge
JL311_B17_2_3	no_hit(Bacterium)	Sponge
